iter	readout	layer_idx	layer	within	between	separation	z	p	minpair
100000	final	10	L09	-0.0561	-0.0604	0.0043	0.153	0.4000	0
100000	final	11	L10	-0.0538	-0.0626	0.0087	0.406	0.3040	0
100000	final	12	L11	-0.0479	-0.0679	0.0201	0.980	0.1690	0
100000	final	13	L12	-0.0424	-0.0730	0.0306	1.444	0.0830	0
100000	final	14	L13	-0.0398	-0.0754	0.0356	1.797	0.0400	0
100000	final	15	L14	-0.0365	-0.0783	0.0418	2.105	0.0260	0
100000	final	16	L15	-0.0366	-0.0782	0.0416	1.811	0.0490	0
100000	after	0	embed	-0.1111	-0.0096	-0.1015	-0.775	1.0000	1
100000	after	1	L00	-0.1059	-0.0013	-0.1046	-1.271	0.9840	0
100000	after	2	L01	-0.1016	-0.0167	-0.0848	-1.236	0.9800	0
100000	after	3	L02	-0.0995	-0.0196	-0.0799	-1.337	0.9630	0
100000	after	4	L03	-0.0917	-0.0279	-0.0638	-1.595	0.9870	0
100000	after	5	L04	-0.0825	-0.0358	-0.0467	-1.346	0.9450	0
100000	after	6	L05	-0.0565	-0.0597	0.0031	0.067	0.4310	0
100000	after	7	L06	-0.0292	-0.0841	0.0549	2.128	0.0330	0
100000	after	8	L07	0.0004	-0.1101	0.1105	4.056	0.0000	1
100000	after	9	L08	0.0621	-0.1638	0.2260	7.930	0.0000	8
100000	after	10	L09	0.0824	-0.1807	0.2631	8.483	0.0000	9
100000	after	11	L10	0.0936	-0.1899	0.2835	9.069	0.0000	9
100000	after	12	L11	0.1168	-0.2114	0.3282	9.775	0.0000	9
100000	after	13	L12	0.1213	-0.2152	0.3364	10.083	0.0000	9
100000	after	14	L13	0.1250	-0.2182	0.3432	9.548	0.0000	9
100000	after	15	L14	0.1308	-0.2229	0.3537	9.776	0.0000	9
100000	after	16	L15	0.1634	-0.2510	0.4144	9.708	0.0000	9
120000	final	0	embed	-0.0938	-0.0187	-0.0751	-1.268	0.9440	0
120000	final	1	L00	-0.0845	-0.0284	-0.0561	-0.829	0.8080	2
120000	final	2	L01	-0.0856	-0.0282	-0.0574	-0.872	0.8230	2
120000	final	3	L02	-0.0920	-0.0265	-0.0655	-1.220	0.9360	0
120000	final	4	L03	-0.0878	-0.0315	-0.0563	-1.577	0.9710	0
120000	final	5	L04	-0.0790	-0.0391	-0.0399	-1.290	0.9260	0
120000	final	6	L05	-0.0764	-0.0421	-0.0343	-1.385	0.9290	0
120000	final	7	L06	-0.0677	-0.0500	-0.0177	-0.807	0.7770	0
120000	final	8	L07	-0.0563	-0.0603	0.0040	0.258	0.3920	0
120000	final	9	L08	-0.0524	-0.0639	0.0115	0.566	0.2650	0
120000	final	10	L09	-0.0500	-0.0662	0.0163	0.783	0.2250	0
120000	final	11	L10	-0.0489	-0.0672	0.0184	0.937	0.1730	0
120000	final	12	L11	-0.0486	-0.0675	0.0189	1.024	0.1520	0
120000	final	13	L12	-0.0442	-0.0715	0.0273	1.423	0.0880	0
120000	final	14	L13	-0.0435	-0.0722	0.0287	1.469	0.0710	0
120000	final	15	L14	-0.0430	-0.0726	0.0296	1.429	0.0870	0
120000	final	16	L15	-0.0446	-0.0712	0.0266	1.283	0.1060	0
120000	after	0	embed	-0.1112	-0.0097	-0.1015	-0.791	1.0000	1
120000	after	1	L00	-0.1096	-0.0080	-0.1015	-1.084	0.9770	0
120000	after	2	L01	-0.1017	-0.0157	-0.0859	-1.178	0.9680	0
120000	after	3	L02	-0.1003	-0.0193	-0.0810	-1.425	0.9730	0
120000	after	4	L03	-0.0895	-0.0300	-0.0595	-1.461	0.9800	0
120000	after	5	L04	-0.0797	-0.0376	-0.0421	-1.247	0.9220	0
120000	after	6	L05	-0.0401	-0.0734	0.0334	1.193	0.1110	0
120000	after	7	L06	-0.0027	-0.1061	0.1034	3.893	0.0000	1
120000	after	8	L07	0.0431	-0.1465	0.1896	6.342	0.0000	5
120000	after	9	L08	0.0881	-0.1852	0.2732	8.315	0.0000	8
120000	after	10	L09	0.1042	-0.1985	0.3027	9.236	0.0000	9
120000	after	11	L10	0.1085	-0.2018	0.3104	8.968	0.0000	9
120000	after	12	L11	0.1202	-0.2132	0.3334	9.340	0.0000	9
120000	after	13	L12	0.1225	-0.2150	0.3375	10.200	0.0000	9
120000	after	14	L13	0.1268	-0.2185	0.3454	9.421	0.0000	8
120000	after	15	L14	0.1283	-0.2195	0.3478	9.706	0.0000	8
120000	after	16	L15	0.1373	-0.2247	0.3619	10.104	0.0000	9
140000	final	0	embed	-0.0931	-0.0182	-0.0750	-1.261	0.9290	0
140000	final	1	L00	-0.0856	-0.0236	-0.0620	-0.899	0.8250	2
140000	final	2	L01	-0.0861	-0.0249	-0.0613	-0.952	0.8260	2
140000	final	3	L02	-0.0909	-0.0271	-0.0638	-1.182	0.9110	0
140000	final	4	L03	-0.0861	-0.0327	-0.0534	-1.561	0.9790	0
140000	final	5	L04	-0.0792	-0.0386	-0.0406	-1.393	0.9360	0
140000	final	6	L05	-0.0751	-0.0430	-0.0322	-1.286	0.9190	0
140000	final	7	L06	-0.0640	-0.0531	-0.0109	-0.476	0.6650	0
140000	final	8	L07	-0.0504	-0.0655	0.0151	0.741	0.2240	0
140000	final	9	L08	-0.0464	-0.0691	0.0227	1.042	0.1530	0
140000	final	10	L09	-0.0427	-0.0725	0.0298	1.461	0.0810	0
140000	final	11	L10	-0.0408	-0.0742	0.0334	1.673	0.0570	0
140000	final	12	L11	-0.0369	-0.0778	0.0408	2.231	0.0200	0
140000	final	13	L12	-0.0317	-0.0824	0.0507	2.721	0.0090	0
140000	final	14	L13	-0.0282	-0.0855	0.0572	2.996	0.0040	0
140000	final	15	L14	-0.0283	-0.0854	0.0570	2.719	0.0140	0
140000	final	16	L15	-0.0255	-0.0877	0.0622	2.416	0.0170	0
140000	after	0	embed	-0.1118	-0.0105	-0.1013	-0.772	0.9980	1
140000	after	1	L00	-0.1036	-0.0129	-0.0907	-0.983	0.8980	0
140000	after	2	L01	-0.0988	-0.0190	-0.0798	-1.136	0.9440	0
140000	after	3	L02	-0.0977	-0.0219	-0.0758	-1.254	0.9360	0
140000	after	4	L03	-0.0874	-0.0310	-0.0564	-1.507	0.9720	0
140000	after	5	L04	-0.0788	-0.0390	-0.0398	-1.192	0.9000	0
140000	after	6	L05	-0.0402	-0.0728	0.0326	1.215	0.1190	0
140000	after	7	L06	-0.0011	-0.1081	0.1070	4.361	0.0000	1
140000	after	8	L07	0.0341	-0.1389	0.1730	6.363	0.0000	3
